Time;Day_of_week;Sex_of_driver;Educational_level;Vehicle_driver_relation;Driving_experience;Type_of_vehicle;Owner_of_vehicle;Service_year_of_vehicle;Defect_of_vehicle;Area_accident_occured;Lanes_or_Medians;Road_allignment;Types_of_Junction;Road_surface_type;Road_surface_conditions;Light_conditions;Weather_conditions;Type_of_collision;Number_of_vehicles_involved;Number_of_casualties;Vehicle_movement;Age_band_of_casualty;Pedestrian_movement;Cause_of_accident;Accident_severity
17:02:00;Monday;Male;Above high school;Employee;1-2yr;Automobile;Owner;Above 10yr;No defect;Residential areas;unknown;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;2;2;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
17:02:00;Monday;Male;Junior high school;Employee;Above 10yr;Public (> 45 seats);Owner;5-10yrs;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;2;Going straight;na;Not a Pedestrian;Overtaking;Slight Injury
17:02:00;Monday;Male;Junior high school;Employee;1-2yr;Lorry (41?100Q);Owner;unknown;No defect;  Recreational areas;other;unknown;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;2;Going straight;31-50;Not a Pedestrian;Changing lane to the left;Serious Injury
01:06:00;Sunday;Male;Junior high school;Employee;5-10yr;Public (> 45 seats);Governmental;unknown;No defect;Office areas;other;Tangent road with mild grade and flat terrain;Y Shape;Earth roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;2;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
01:06:00;Sunday;Male;Junior high school;Employee;2-5yr;unknown;Owner;5-10yrs;No defect; Industrial areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;2;Going straight;na;Not a Pedestrian;Overtaking;Slight Injury
14:15:00;Friday;Male;unknown;Unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;Y Shape;unknown;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;U-Turn;31-50;Not a Pedestrian;Overloading;Slight Injury
17:30:00;Wednesday;Male;Junior high school;Employee;2-5yr;Automobile;Owner;unknown;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;Crossing;unknown;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Moving Backward;18-30;Not a Pedestrian;Other;Slight Injury
17:20:00;Friday;Male;Junior high school;Employee;2-5yr;Automobile;Governmental;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;U-Turn;na;Not a Pedestrian;No priority to vehicle;Slight Injury
17:20:00;Friday;Male;Junior high school;Employee;Above 10yr;Lorry (41?100Q);Owner;1-2yr;No defect; Industrial areas;other;Tangent road with flat terrain;Y Shape;Earth roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;2;1;Going straight;Under 18;Crossing from driver's nearside;Changing lane to the right;Slight Injury
17:20:00;Friday;Male;Junior high school;Employee;1-2yr;Automobile;Owner;2-5yrs;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;2;1;U-Turn;18-30;Not a Pedestrian;Moving Backward;Serious Injury
14:40:00;Saturday;Male;Above high school;Owner;1-2yr;Public (13?45 seats);Owner;Unknown;No defect;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Turnover;na;Not a Pedestrian;Changing lane to the left;Serious Injury
14:40:00;Saturday;Male;Above high school;Employee;No Licence;Automobile;Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Earth roads;Dry;Daylight;Normal;Collision with animals;2;1;Going straight;18-30;Not a Pedestrian;No priority to pedestrian;Serious Injury
17:45:00;Thursday;Male;Junior high school;Employee;1-2yr;Public (> 45 seats);Owner;2-5yrs;No defect;Office areas;Double carriageway (median);Escarpments;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;2;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
17:45:00;Thursday;Male;Junior high school;Employee;5-10yr;Lorry (41?100Q);Owner;Above 10yr;No defect;Office areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;2;Waiting to go;na;Not a Pedestrian;No priority to vehicle;Slight Injury
17:45:00;Thursday;Male;Junior high school;Employee;Above 10yr;Automobile;Owner;1-2yr;No defect;Office areas;Undivided Two way;Escarpments;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;2;Going straight;18-30;Not a Pedestrian;No distancing;Serious Injury
22:45:00;Monday;Female;Junior high school;Employee;Above 10yr;Lorry (11?40Q);Owner;unknown;No defect;Office areas;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Collision with animals;2;3;Going straight;na;Not a Pedestrian;No distancing;Serious Injury
22:45:00;Monday;Male;Junior high school;Owner;5-10yr;Public (13?45 seats);Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Collision with animals;2;3;Going straight;na;Not a Pedestrian;Moving Backward;Slight Injury
22:45:00;Monday;Male;Elementary school;Employee;2-5yr;Public (13?45 seats);Owner;unknown;No defect;Office areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Collision with animals;2;3;Going straight;na;Not a Pedestrian;Changing lane to the right;Serious Injury
22:45:00;Monday;Male;Junior high school;Employee;2-5yr;unknown;Owner;Above 10yr;No defect;Residential areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Wet or damp;Darkness - lights lit;Raining;Collision with animals;2;3;Moving Backward;na;Not a Pedestrian;No priority to pedestrian;Slight Injury
08:20:00;Tuesday;Male;Junior high school;Employee;Below 1yr;Long lorry;Owner;5-10yrs;No defect;Residential areas;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Going straight;Under 18;Not a Pedestrian;Moving Backward;Serious Injury
08:20:00;Tuesday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;unknown;No defect;Other;One way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Going straight;na;Not a Pedestrian;Getting off the vehicle improperly;Slight Injury
